День,Час,Завдання,Лінк,Тип (колір у Notion),Статус (чекбокс),Примітка,Мета дня
День 1,10:00–10:30,Встановити Python 3.11+ та VS Code,https://www.python.org/downloads/,Теорія (синій),,,"Встановити інструменти, розібратися з базовим синтаксисом і типами"
День 1,10:30–11:00,Налаштувати розширення Python у VS Code,https://marketplace.visualstudio.com/items?itemName=ms-python.python,Практика (зелений),,,"Встановити інструменти, розібратися з базовим синтаксисом і типами"
День 1,11:00–12:00,"Основи Python: змінні, типи, введення/виведення",https://www.learnpython.org/,Теорія (синій),,,"Встановити інструменти, розібратися з базовим синтаксисом і типами"
День 1,12:00–13:00,Відео: CS50 Python — вступ (0:00–26:30),https://www.youtube.com/watch?v=nLRL_NcnK-4,Теорія (синій),,Зроби нотатки у Notion,"Встановити інструменти, розібратися з базовим синтаксисом і типами"
День 1,13:00–14:00,"Практика: Hello, World; калькулятор; конвертер одиниць",https://www.w3resource.com/python-exercises/,Практика (зелений),,,"Встановити інструменти, розібратися з базовим синтаксисом і типами"
День 1,14:00–15:00,"Контрольні вправи: типи, оператори, ввід користувача",https://pynative.com/python-exercises-with-solutions/,Практика (зелений),,,"Встановити інструменти, розібратися з базовим синтаксисом і типами"
День 2,10:00–10:30,if/elif/else та логічні оператори,https://www.w3schools.com/python/python_conditions.asp,Теорія (синій),,,"Навчитись умовам і циклам, писати прості програми з логікою"
День 2,10:30–11:30,"Цикли while і for, range()",https://www.learnpython.org/en/Loops,Теорія (синій),,,"Навчитись умовам і циклам, писати прості програми з логікою"
День 2,11:30–12:30,"Вправи: калькулятор у циклі, перевірка парності, FizzBuzz",https://www.w3resource.com/python-exercises/python-conditional-statements-and-loop-exercises.php,Практика (зелений),,,"Навчитись умовам і циклам, писати прості програми з логікою"
День 2,12:30–13:30,Відео: CS50 Python — логіка та цикли (26:30–56:00),https://www.youtube.com/watch?v=nLRL_NcnK-4,Теорія (синій),,,"Навчитись умовам і циклам, писати прості програми з логікою"
День 2,13:30–14:30,"Міні-задачі: таблиця множення, підрахунок сум/середнього зі списку",https://pynative.com/python-basic-exercise-for-beginners/,Практика (зелений),,,"Навчитись умовам і циклам, писати прості програми з логікою"
День 2,14:30–15:00,"Рефлексія дня: виписати 5 речей, які вдалося/важко дались",,Практика (зелений),,,"Навчитись умовам і циклам, писати прості програми з логікою"
День 3,10:00–10:40,"List: створення, індексація, зрізи",https://www.w3schools.com/python/python_lists.asp,Теорія (синій),,,"Опанувати списки та словники, вміти ітеруватись і шукати дані"
День 3,10:40–11:20,"Dict: ключі/значення, ітерація, методи",https://www.w3schools.com/python/python_dictionaries.asp,Теорія (синій),,,"Опанувати списки та словники, вміти ітеруватись і шукати дані"
День 3,11:20–12:30,"Практика: список покупок (CRUD), сортування/фільтрація",https://www.w3resource.com/python-exercises/list/,Практика (зелений),,,"Опанувати списки та словники, вміти ітеруватись і шукати дані"
День 3,12:30–13:15,Практика: телефонна книга на dict,https://www.w3resource.com/python-exercises/dictionary/,Практика (зелений),,Передбач збереження у файл на День 5,"Опанувати списки та словники, вміти ітеруватись і шукати дані"
День 3,13:15–14:00,Відео: Lists & Dicts (Tech With Tim),https://www.youtube.com/watch?v=9OXKqfzq3jY,Теорія (синій),,,"Опанувати списки та словники, вміти ітеруватись і шукати дані"
День 3,14:00–15:00,Міні-ченджлог: що додати в телефонну книгу завтра?,,Практика (зелений),,,"Опанувати списки та словники, вміти ітеруватись і шукати дані"
День 4,10:00–10:45,"Функції: def, аргументи, return, scope",https://www.w3schools.com/python/python_functions.asp,Теорія (синій),,,Навчитись писати та тестувати функції; зрозуміти lambda
День 4,10:45–11:20,"Lambda, map/filter, list comprehensions",https://realpython.com/lessons/python-lambda/,Теорія (синій),,,Навчитись писати та тестувати функції; зрозуміти lambda
День 4,11:20–12:20,"Практика: факторіал, паліндром, Fibonacci",https://pynative.com/python-functions-exercise-with-solutions/,Практика (зелений),,,Навчитись писати та тестувати функції; зрозуміти lambda
